quarter,scenario,unemployment_rate_log_diff_4_lag2,hpi_cs_log_diff_1_lag2,real_gdp_log_diff_4
2044-10-01,severe,0.0,0.62,2.0
2045-01-01,severe,0.0,0.62,2.0
2045-04-01,severe,0.0,0.62,2.0
2045-07-01,severe,0.0,0.62,2.0
2045-10-01,severe,0.0,0.62,2.0
2046-01-01,severe,0.0,0.62,2.0
2046-04-01,severe,0.0,0.62,2.0
2046-07-01,severe,0.0,0.62,2.0
2046-10-01,severe,0.0,0.62,2.0
2047-01-01,severe,0.0,0.62,2.0
2047-04-01,severe,0.0,0.62,2.0
2047-07-01,severe,0.0,0.62,2.0
2047-10-01,severe,0.0,0.62,2.0
2048-01-01,severe,0.0,0.62,2.0
2048-04-01,severe,0.0,0.62,2.0
2048-07-01,severe,0.0,0.62,2.0
2048-10-01,severe,0.0,0.62,2.0
2049-01-01,severe,0.0,0.62,2.0
2049-04-01,severe,0.0,0.62,2.0
2049-07-01,severe,0.0,0.62,2.0
2049-10-01,severe,0.0,0.62,2.0
2050-01-01,severe,0.0,0.62,2.0
2050-04-01,severe,0.0,0.62,2.0
2050-07-01,severe,0.0,0.62,2.0
2050-10-01,severe,0.0,0.62,2.0
2051-01-01,severe,0.0,0.62,2.0
2051-04-01,severe,0.0,0.62,2.0
2051-07-01,severe,0.0,0.62,2.0
2051-10-01,severe,0.0,0.62,2.0
2052-01-01,severe,0.0,0.62,2.0
2052-04-01,severe,0.0,0.62,2.0
2052-07-01,severe,0.0,0.62,2.0
2052-10-01,severe,0.0,0.62,2.0
2053-01-01,severe,0.0,0.62,2.0
2053-04-01,severe,0.0,0.62,2.0
2053-07-01,severe,0.0,0.62,2.0
2053-10-01,severe,0.0,0.62,2.0
2054-01-01,severe,0.0,0.62,2.0
2054-04-01,severe,0.0,0.62,2.0
2054-07-01,severe,0.0,0.62,2.0
2054-10-01,severe,0.0,0.62,2.0
2055-01-01,severe,0.0,0.62,2.0
2055-04-01,severe,0.0,0.62,2.0
2055-07-01,severe,0.0,0.62,2.0
